file,directory,date_logged,log_name,contractor,data_type,log_service,log_activity,log_type,log_job,log_run,log_pass,casing_size_manual,section_size,station_number,station_depth,mfc_correction,interpretation_number,date_stamp
MUD_LOG_MD_PLOT_2-112936.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:36:11
MUD_LOG_MD_PLOT_3-112938.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:37:31
MUD_LOG_REPORT_1-112937.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:36:59
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1-66548.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1T2,2016/02/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,16,-,,,,,,,2016/05/11:14:55:30
WL_RAW_GR-REMP_MD_MWD_PLOT_1-66547.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1T2,2016/02/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,16,-,,,,,,,2016/05/11:14:54:32
MUD_LOG_MD_PLOT_1-112948.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1T2,2016/02/27,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:28:22
MUD_LOG_MD_PLOT_2-112944.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1T2,2016/02/27,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:23:53
MUD_LOG_MD_PLOT_3-112946.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1T2,2016/02/27,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:25:34
MUD_LOG_REPORT_1-112945.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1T2,2016/02/27,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:24:32
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1-68506.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/03,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,18,-,,,,,,,2016/05/25:12:50:19
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_2-68509.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/06,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,19,-,,,,,,,2016/05/25:12:53:42
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_1-68503.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/03,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,18,-,,,,,,,2016/05/25:12:45:31
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_2-68513.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/06,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,19,-,,,,,,,2016/05/25:12:57:07
WL_RAW_GR-REMP_MD_MWD_PLOT_1-68505.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/03,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,18,-,,,,,,,2016/05/25:12:49:13
WL_RAW_GR-REMP_MD_MWD_PLOT_2-68508.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/06,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,19,-,,,,,,,2016/05/25:12:52:36
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1-66784.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/04,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,18,-,,,,,,,2016/05/12:10:34:28
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_2-66786.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/04,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,19,-,,,,,,,2016/05/12:10:36:47
WL_RAW_GR-REMP_MD_MWD_PLOT_1-66783.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/04,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,18,-,,,,,,,2016/05/12:10:33:23
WL_RAW_GR-REMP_MD_MWD_PLOT_2-66785.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/04,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,19,-,,,,,,,2016/05/12:10:35:44
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_1-66791.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY2,2016/03/04,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,18,-,,,,,,,2016/05/12:10:41:09
